,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,Era,Combined_Features
43,Red Alert: The War Within,2009,120 min,6.4,337,action drama thriller,hindi,after_2000,action drama thriller hindi after_2000
44,Hasta Melapa,1969,,6.4,0,drama,gujarati,before_1980,drama gujarati before_1980
45,Amnol Sahara,1952,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
46,Waqt Ka Shahenshah,1987,,4.9,11,action,hindi,1980_1990,action hindi 1980_1990
47,Coffee Bloom,2015,90 min,5.9,101,drama,hindi,after_2000,drama hindi after_2000
48,Vidiyum Munn,2013,129 min,7.4,434,thriller,tamil,after_2000,thriller tamil after_2000
49,Olappeeppi,2016,121 min,7.6,120,drama,malayalam,after_2000,drama malayalam after_2000
50,Duniya Ke Rangeen Raatein,1997,,6.4,0,drama,hindi,1990_2000,drama hindi 1990_2000
51,Timi Sanga,2018,,6.1,11,romance,nepali,after_2000,romance nepali after_2000
52,Oho Naa Pellanta,1996,,6.2,19,comedy,telugu,1990_2000,comedy telugu 1990_2000
53,Ivanu Thumba Orata,2009,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
54,Apnapan,1977,133 min,6.5,73,drama romance,hindi,before_1980,drama romance hindi before_1980
55,Saath Laakh,1957,125 min,6.4,0,musical romance,urdu,before_1980,musical romance urdu before_1980
56,Takrav,2018,,6.4,0,action romance,bhojpuri,after_2000,action romance bhojpuri after_2000
57,Pratipaksha,1988,108 min,6.9,8,action drama,bengali,1980_1990,action drama bengali 1980_1990
58,Har Raat Naya Khiladi,1990,,6.4,0,thriller,hindi,1990_2000,thriller hindi 1990_2000
59,Naanaage Naanillai,2016,,6.4,0,drama,tamil,after_2000,drama tamil after_2000
60,Dehorokkhi: The Bodyguard,2013,167 min,6.8,402,action,bengali,after_2000,action bengali after_2000
61,Beru,2005,104 min,8.3,19,drama,kannada,after_2000,drama kannada after_2000
62,Paigham,1988,168 min,6.4,0,fantasy,hindi,1980_1990,fantasy hindi 1980_1990
63,The Rubiks game,2014,30 min,6.4,0,short thriller,malayalam,after_2000,short thriller malayalam after_2000
64,Anthervedam,2018,,6.4,0,thriller,telugu,after_2000,thriller telugu after_2000
65,Enakkul Oru Kadhal,2009,97 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
66,Preetam,2021,,9.0,15,romance,marathi,after_2000,romance marathi after_2000
67,Britto,2014,124 min,7.5,12,drama,bengali,after_2000,drama bengali after_2000
68,Pyar Ka Jigar,2003,,6.4,0,romance,hindi,after_2000,romance hindi after_2000
69,Stalin Sivadas,1999,118 min,2.7,47,action thriller,malayalam,1990_2000,action thriller malayalam 1990_2000
70,Gopichand Jasoos,1982,150 min,5.9,123,comedy thriller,hindi,1980_1990,comedy thriller hindi 1980_1990
71,Vikrant Rona,2021,,6.4,0,action adventure fantasy,kannada,after_2000,action adventure fantasy kannada after_2000
72,Joy: The Real Love Story,2007,127 min,2.1,1601,drama romance thriller,hindi,after_2000,drama romance thriller hindi after_2000
73,Dharavi,1992,120 min,7.1,282,crime drama,hindi,1990_2000,crime drama hindi 1990_2000
74,Sansarer Itikatha,1983,,6.4,0,drama,bengali,1980_1990,drama bengali 1980_1990
75,Noces,2016,98 min,7.1,1360,drama,oriya,after_2000,drama oriya after_2000
76,Khoobsurat Kali,2003,,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
77,Babai Abbai,1984,117 min,6.3,102,comedy romance,telugu,1980_1990,comedy romance telugu 1980_1990
78,Yaar Meri Zindagi,2008,,4.8,39,drama family musical,hindi,after_2000,drama family musical hindi after_2000
79,Hututu,2014,138 min,5.0,5,comedy,marathi,after_2000,comedy marathi after_2000
80,Parchhaeen,1989,,6.4,0,thriller,hindi,1980_1990,thriller hindi 1980_1990
81,Sharda,1981,126 min,5.5,19,drama family,hindi,1980_1990,drama family hindi 1980_1990
82,Satyanweshi Byomkesh,2019,108 min,6.5,267,crime mystery thriller,bengali,after_2000,crime mystery thriller bengali after_2000
83,Mahan,1996,132 min,6.0,8,drama family,bengali,1990_2000,drama family bengali 1990_2000
84,Kanthaswamy,2009,190 min,5.0,1567,action crime,tamil,after_2000,action crime tamil after_2000
85,Vishwa Thulasi,2004,,6.1,32,drama musical romance,tamil,after_2000,drama musical romance tamil after_2000
86,Saakshyam,2018,166 min,4.7,437,action,telugu,after_2000,action telugu after_2000
87,Circus Queen,1959,,6.4,0,action,hindi,before_1980,action hindi before_1980
88,"Haseena: Smart, Sexy, Dangerous",2006,,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
89,Seemana,1996,,8.9,8,action drama,nepali,1990_2000,action drama nepali 1990_2000
90,Weather Report,2017,91 min,6.4,0,drama,marathi,after_2000,drama marathi after_2000
91,Shutter,2012,133 min,7.7,1017,thriller,malayalam,after_2000,thriller malayalam after_2000
92,Maithaanam,2011,125 min,5.9,7,drama family mystery,tamil,after_2000,drama family mystery tamil after_2000
93,Sons of Ram,2012,85 min,6.6,76,animation drama musical,tamil,after_2000,animation drama musical tamil after_2000
94,Duti Mon,2011,,6.4,0,drama,bengali,after_2000,drama bengali after_2000
95,Swapna Lokam,1999,,6.4,0,romance,telugu,1990_2000,romance telugu 1990_2000
96,Pattalam,2003,159 min,5.1,316,action comedy drama,malayalam,after_2000,action comedy drama malayalam after_2000
97,The Twelve Thousand,2020,28 min,6.4,0,short drama,nepali,after_2000,short drama nepali after_2000
98,Santa,1961,,6.4,0,drama,telugu,before_1980,drama telugu before_1980
99,Mullamottum Munthiricharum,2012,,4.3,14,drama,malayalam,after_2000,drama malayalam after_2000
100,Dillagi,1999,188 min,5.3,1068,drama musical romance,hindi,1990_2000,drama musical romance hindi 1990_2000
101,Nesi,2009,,6.4,0,drama,tamil,after_2000,drama tamil after_2000
102,Kaana Kanmani,2009,132 min,4.4,106,drama horror,malayalam,after_2000,drama horror malayalam after_2000
103,Bhagwaan Dada,1986,147 min,4.3,167,drama thriller,hindi,1980_1990,drama thriller hindi 1980_1990
104,A 2nd Hand Lover,2015,135 min,6.4,0,romance,kannada,after_2000,romance kannada after_2000
105,Sampoorna Sant Darshanam,1978,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
106,Dharti ke God Mein,1971,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
107,Shaitaan: A Vision of Madness,2018,65 min,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
108,Haaru Hakkiyaneri,2010,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
109,Payal Ki Jhankar,1968,132 min,4.4,12,action adventure comedy,hindi,before_1980,action adventure comedy hindi before_1980
110,Juniors,2003,,5.2,13,romance,telugu,after_2000,romance telugu after_2000
111,Palkon Ki Chhaon Mein,1977,127 min,7.5,65,drama romance,hindi,before_1980,drama romance hindi before_1980
112,Dil Ka Sathi Dil,1982,,6.7,18,romance,hindi,1980_1990,romance hindi 1980_1990
113,Mounamelanoyi,2002,154 min,6.7,16,romance,telugu,after_2000,romance telugu after_2000
114,Punar Milan,1940,,6.4,0,drama romance,hindi,before_1980,drama romance hindi before_1980
115,HIRER SHIKAL,1988,126 min,6.4,0,drama romance,bengali,1980_1990,drama romance bengali 1980_1990
116,Mohanlal,2018,150 min,4.5,507,comedy,malayalam,after_2000,comedy malayalam after_2000
117,Dharti Ke Lal,1950,125 min,6.4,16,drama history,hindi,before_1980,drama history hindi before_1980
118,Golmaal Returns,2008,135 min,5.1,7115,comedy crime mystery,hindi,after_2000,comedy crime mystery hindi after_2000
119,The Journey Within,2015,78 min,7.0,35,documentary music,oriya,after_2000,documentary music oriya after_2000
120,Janma Bhoomi,1995,,8.0,6,drama,nepali,1990_2000,drama nepali 1990_2000
121,Inspector Gullu,2018,124 min,6.8,32,action,hindi,after_2000,action hindi after_2000
122,Deiva Thirumagal,2011,166 min,8.1,4954,drama,tamil,after_2000,drama tamil after_2000
123,Aaj Ka Inteqaam,1991,,6.4,0,thriller,hindi,1990_2000,thriller hindi 1990_2000
124,Tuch Khari Gharchi Laxmi,2011,115 min,6.4,0,drama,marathi,after_2000,drama marathi after_2000
125,Pataas,2015,127 min,6.7,758,action comedy,telugu,after_2000,action comedy telugu after_2000
126,Ram,2022,,6.4,0,action crime thriller,malayalam,after_2000,action crime thriller malayalam after_2000
127,Monagadu,1976,151 min,6.4,0,crime drama,telugu,before_1980,crime drama telugu before_1980
128,Kala Dhanda Goray Log,1986,158 min,5.7,35,drama family,hindi,1980_1990,drama family hindi 1980_1990
129,Vishwaguru,2017,,6.4,0,biography,malayalam,after_2000,biography malayalam after_2000
130,Talentime,2009,120 min,6.8,183,drama,tamil,after_2000,drama tamil after_2000
131,Shah,2015,109 min,8.5,1392,biography drama sport,urdu,after_2000,biography drama sport urdu after_2000
132,Harsha Varsha Jayaraj,2020,,8.0,6,short comedy,malayalam,after_2000,short comedy malayalam after_2000
133,Raakhi Ki Saugandh,1979,,6.4,0,action crime drama,hindi,before_1980,action crime drama hindi before_1980
134,Khara Varasdar,1986,,6.4,0,drama,marathi,1980_1990,drama marathi 1980_1990
135,Lakhon Fasane,1961,,6.4,0,drama,urdu,before_1980,drama urdu before_1980
136,Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,896,drama fantasy horror,punjabi,after_2000,drama fantasy horror punjabi after_2000
137,Amma I Love You,2018,147 min,7.4,55,drama,kannada,after_2000,drama kannada after_2000
138,Kahi Katai,2018,,6.4,0,family,nepali,after_2000,family nepali after_2000
139,Adhiktam,2020,45 min,6.4,0,action comedy,hindi,after_2000,action comedy hindi after_2000
140,Ishq Ishq,1977,,3.4,23,musical,urdu,before_1980,musical urdu before_1980
141,Aata Hoti Geli Kuthe,1991,,6.4,0,comedy,marathi,1990_2000,comedy marathi 1990_2000
142,123,2002,127 min,5.7,59,comedy,telugu,after_2000,comedy telugu after_2000
143,Saajan Ki Saheli,1981,,5.5,44,family drama,hindi,1980_1990,family drama hindi 1980_1990
144,Chanakya,2019,147 min,5.4,492,action adventure thriller,malayalam,after_2000,action adventure thriller malayalam after_2000
145,Khaan Dost,1976,157 min,5.6,38,action crime drama,hindi,before_1980,action crime drama hindi before_1980
146,Kalsandhya,1997,124 min,7.8,11,drama,assamese,1990_2000,drama assamese 1990_2000
147,Ippadikku En Kadhal,2007,115 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
148,Chottanikkara Amma,1976,132 min,6.6,8,drama,malayalam,before_1980,drama malayalam before_1980
149,Sutradhaarulu,1990,,8.1,55,drama musical,telugu,1990_2000,drama musical telugu 1990_2000
150,Butter & Cheese,2014,13 min,6.4,0,short family,nepali,after_2000,short family nepali after_2000
151,That Girl in Yellow Boots,2010,103 min,6.6,3574,crime drama mystery,kannada,after_2000,crime drama mystery kannada after_2000
152,Aanamuttathe Aangalamar,2000,108 min,6.4,0,comedy drama,malayalam,after_2000,comedy drama malayalam after_2000
153,American Desi,2001,100 min,6.6,1583,comedy drama romance,hindi,after_2000,comedy drama romance hindi after_2000
154,Chettayees,2012,,4.7,134,family,malayalam,after_2000,family malayalam after_2000
155,Poila April,2021,,6.4,0,drama,bengali,after_2000,drama bengali after_2000
156,Chalta Purza,1958,,6.4,0,fantasy,hindi,before_1980,fantasy hindi before_1980
157,Hichki,2018,116 min,7.5,10905,comedy drama,hindi,after_2000,comedy drama hindi after_2000
158,Lover Boy,1985,,4.1,19,drama romance,hindi,1980_1990,drama romance hindi 1980_1990
159,Babul,1986,162 min,4.8,9,drama,hindi,1980_1990,drama hindi 1980_1990
160,Babu,2020,26 min,6.4,0,short drama,nepali,after_2000,short drama nepali after_2000
161,Swabhimaan,2019,122 min,6.4,0,drama,gujarati,after_2000,drama gujarati after_2000
162,Tribhanga,2021,95 min,6.1,2406,drama family,hindi,after_2000,drama family hindi after_2000
163,Sri Bannari Amman,2002,149 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
164,Apoorva Mahaan,2015,135 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
165,Haidar Sultan,1982,,6.4,0,action drama,punjabi,1980_1990,action drama punjabi 1980_1990
166,3 Monkeys,2020,131 min,6.5,82,drama,telugu,after_2000,drama telugu after_2000
167,Phone Bhoot,2021,,6.4,0,comedy horror,hindi,after_2000,comedy horror hindi after_2000
168,Aag aur Angaray,1990,,6.4,0,action,hindi,1990_2000,action hindi 1990_2000
169,Vachikava,2014,,6.4,0,drama,tamil,after_2000,drama tamil after_2000
170,Krishna Arjun,2004,,6.4,0,action,hindi,after_2000,action hindi after_2000
171,Rahi,1953,139 min,6.9,27,drama,hindi,before_1980,drama hindi before_1980
172,Chaukat Raja,1991,141 min,7.4,214,family,marathi,1990_2000,family marathi 1990_2000
173,School Master,2010,143 min,6.4,0,drama,kannada,after_2000,drama kannada after_2000
174,Halla Gulla,2015,,5.2,77,action comedy,urdu,after_2000,action comedy urdu after_2000
175,Monopoly the Game of Money,2012,,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
176,Maga Maharaju,1983,,6.8,30,comedy drama romance,telugu,1980_1990,comedy drama romance telugu 1980_1990
177,Band Baaja Babuchak,2017,123 min,6.4,0,comedy,gujarati,after_2000,comedy gujarati after_2000
178,Gita,2008,,6.4,0,drama,telugu,after_2000,drama telugu after_2000
179,Kusruthi Kuruppu,1998,135 min,5.8,40,comedy drama,malayalam,1990_2000,comedy drama malayalam 1990_2000
180,Mr. and Mrs. Iyer,2002,120 min,7.9,4681,drama,tamil,after_2000,drama tamil after_2000
181,Inth Ka Jawab Patthar,2002,,3.2,9,musical action,hindi,after_2000,musical action hindi after_2000
182,Nisithe,1963,,7.2,10,drama,bengali,before_1980,drama bengali before_1980
183,Cabbie,2019,19 min,6.4,0,short horror,nepali,after_2000,short horror nepali after_2000
184,Advaitham,1991,181 min,7.0,275,action crime drama,malayalam,1990_2000,action crime drama malayalam 1990_2000
185,Kachehari,1994,,6.4,14,action,punjabi,1990_2000,action punjabi 1990_2000
186,Fever,2009,,8.5,8,short fantasy,nepali,after_2000,short fantasy nepali after_2000
187,Kaashi Amarnath,2017,162 min,4.7,11,action drama romance,bhojpuri,after_2000,action drama romance bhojpuri after_2000
188,Afsana Dilwalon Ka,2001,195 min,3.6,1024,drama romance,urdu,after_2000,drama romance urdu after_2000
189,Namukkore Aakasham,2015,115 min,6.4,0,drama,malayalam,after_2000,drama malayalam after_2000
190,Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,drama sport,malayalam,after_2000,drama sport malayalam after_2000
191,Mr. X,2015,133 min,3.8,1816,action drama sci-fi,hindi,after_2000,action drama sci-fi hindi after_2000
192,Pakhandi,1984,138 min,6.5,26,drama,hindi,1980_1990,drama hindi 1980_1990
193,Bachchan,2013,145 min,6.6,926,action crime thriller,kannada,after_2000,action crime thriller kannada after_2000
194,Desi Kattey,2014,139 min,4.0,125,action,hindi,after_2000,action hindi after_2000
195,Vaddante Dabbu,1954,139 min,6.6,10,comedy drama,telugu,before_1980,comedy drama telugu before_1980
196,Nooran,1957,,6.4,0,romance,punjabi,before_1980,romance punjabi before_1980
197,Tharangam,2017,153 min,6.3,478,action comedy,malayalam,after_2000,action comedy malayalam after_2000
198,Pyase Nain,1989,,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
199,Anokha Chamatkar,1988,,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
200,Vasudhaika 1957,2016,,6.4,0,horror,telugu,after_2000,horror telugu after_2000
201,Insaan Aur Shaitan,1970,,5.1,14,action,hindi,before_1980,action hindi before_1980
202,Sapthagiri LLB,2017,138 min,7.2,56,comedy drama,telugu,after_2000,comedy drama telugu after_2000
203,Prem Vidrohi,2012,,6.4,0,action,bhojpuri,after_2000,action bhojpuri after_2000
204,Manamantha,2016,164 min,7.7,840,drama,telugu,after_2000,drama telugu after_2000
205,August 2,2012,,4.2,9,thriller,hindi,after_2000,thriller hindi after_2000
206,Ponge Ezhu Manohara,2015,,6.4,0,comedy drama,tamil,after_2000,comedy drama tamil after_2000
207,1:13:7 Ek Tera Saath,2016,120 min,5.7,57,horror,hindi,after_2000,horror hindi after_2000
208,Diyar Bhojai,1980,,6.4,0,romance,gujarati,1980_1990,romance gujarati 1980_1990
209,Sair-E-Paristan,1958,,6.4,0,fantasy,hindi,before_1980,fantasy hindi before_1980
210,Lalkare Sheran De,1994,117 min,6.4,0,action,punjabi,1990_2000,action punjabi 1990_2000
211,Azad Champion,1968,,6.4,0,action,hindi,before_1980,action hindi before_1980
212,Record,2019,81 min,6.4,0,horror,urdu,after_2000,horror urdu after_2000
213,Raogari Illu,1988,,6.4,0,comedy drama,telugu,1980_1990,comedy drama telugu 1980_1990
214,Proud to Be a Sikh,2014,92 min,7.2,20,drama,punjabi,after_2000,drama punjabi after_2000
215,Banna Bannada Baduku,2017,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
216,Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,239,drama,malayalam,after_2000,drama malayalam after_2000
217,Laxmi,1957,118 min,6.4,0,drama family,hindi,before_1980,drama family hindi before_1980
218,Patukunte Padivelu,1967,145 min,6.4,0,drama,telugu,before_1980,drama telugu before_1980
219,Radha Ghelo Kan,1991,,6.4,0,drama,gujarati,1990_2000,drama gujarati 1990_2000
220,"U, Bomsi N Me",2005,,7.4,13,comedy,hindi,after_2000,comedy hindi after_2000
221,Les Larmes Noires,2015,127 min,6.4,0,documentary,urdu,after_2000,documentary urdu after_2000
222,Balakot: the true story,2020,,6.4,0,action,hindi,after_2000,action hindi after_2000
223,Maan Marjada,1991,137 min,6.4,0,drama,bengali,1990_2000,drama bengali 1990_2000
224,Hera Pheri,2000,156 min,8.2,58037,action comedy crime,hindi,after_2000,action comedy crime hindi after_2000
225,Putra Badhu,1998,,6.4,0,drama,bengali,1990_2000,drama bengali 1990_2000
226,Gollu Aur Pappu,2014,112 min,3.7,101,comedy,hindi,after_2000,comedy hindi after_2000
227,Heer Maan Ja,2019,146 min,5.2,187,action comedy family,punjabi,after_2000,action comedy family punjabi after_2000
228,Love You to Death,2012,102 min,5.3,7,comedy thriller,hindi,after_2000,comedy thriller hindi after_2000
229,Awara Badal,1964,134 min,5.9,14,action adventure drama,bhojpuri,before_1980,action adventure drama bhojpuri before_1980
230,Gharer Bou,1990,121 min,6.4,0,drama,bengali,1990_2000,drama bengali 1990_2000
231,Chief Sahib,1996,,5.0,37,action comedy romance,urdu,1990_2000,action comedy romance urdu 1990_2000
232,Revelations,2016,118 min,7.3,135,drama,tamil,after_2000,drama tamil after_2000
233,Murder,1994,101 min,6.4,0,crime drama mystery,kannada,1990_2000,crime drama mystery kannada 1990_2000
234,Ivide Ingane,1984,101 min,6.4,0,action drama,malayalam,1980_1990,action drama malayalam 1980_1990
235,Amar Premi Sheni Vijanand,1974,,6.4,0,drama,gujarati,before_1980,drama gujarati before_1980
236,Tum Hi To Ho...,2011,,3.9,10,drama mystery thriller,hindi,after_2000,drama mystery thriller hindi after_2000
237,Maharathi,2008,114 min,7.1,967,crime drama mystery,hindi,after_2000,crime drama mystery hindi after_2000
238,Adyathe Maravi,2019,14 min,6.4,0,short thriller,malayalam,after_2000,short thriller malayalam after_2000
239,Hum Ek Hain,1961,,6.4,0,drama,urdu,before_1980,drama urdu before_1980
240,Common Opinion,2016,10 min,6.4,0,documentary short,urdu,after_2000,documentary short urdu after_2000
241,Paandav,1995,132 min,4.1,533,action drama,hindi,1990_2000,action drama hindi 1990_2000
242,Savitri,1937,136 min,6.4,0,fantasy,hindi,before_1980,fantasy hindi before_1980
243,Raam,2009,149 min,6.6,136,comedy drama,kannada,after_2000,comedy drama kannada after_2000
244,Police Lock Up,1992,,6.4,0,action,hindi,1990_2000,action hindi 1990_2000
245,The Dirty Picture,2011,145 min,6.6,8815,biography comedy drama,tamil,after_2000,biography comedy drama tamil after_2000
246,Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,,6.4,0,documentary,nepali,after_2000,documentary nepali after_2000
247,Lawaris: Karachi's Unknown Dead,2019,,6.4,0,documentary short,urdu,after_2000,documentary short urdu after_2000
248,Rakhewal,2019,130 min,6.4,0,drama,gujarati,after_2000,drama gujarati after_2000
249,Kanasu Maratakkide,2021,132 min,6.4,0,drama,kannada,after_2000,drama kannada after_2000
250,Pati Patni Aur Tawaif,1990,,4.3,40,drama family,hindi,1990_2000,drama family hindi 1990_2000
251,Dholo Mara Malak No,1998,,6.4,0,drama,gujarati,1990_2000,drama gujarati 1990_2000
252,The Last Color,2019,90 min,7.7,740,drama,hindi,after_2000,drama hindi after_2000
253,Aji Bas Shukriya,1958,,6.2,10,comedy drama musical,hindi,before_1980,comedy drama musical hindi before_1980
254,Bhartruhari,1932,,6.4,0,fantasy,hindi,before_1980,fantasy hindi before_1980
255,Teer,1954,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
256,Eppothum Vendran,2014,138 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
257,Prem Paigham,1989,,6.4,0,romance,hindi,1980_1990,romance hindi 1980_1990
258,Smuggler,1996,,4.4,17,action crime,hindi,1990_2000,action crime hindi 1990_2000
259,Sheikh Chilli,1958,,6.4,0,comedy,punjabi,before_1980,comedy punjabi before_1980
260,Sasi Lalitha,2020,,6.4,0,drama,telugu,after_2000,drama telugu after_2000
261,Om Shri Satya Sai Baba,2021,,6.4,0,biography,hindi,after_2000,biography hindi after_2000
262,Khooni Insaan,1988,,4.0,7,thriller,hindi,1980_1990,thriller hindi 1980_1990
263,Lalu Bhulu,1959,,7.0,6,drama,bengali,before_1980,drama bengali before_1980
264,Rakkhushi,2006,134 min,6.5,10,drama,bengali,after_2000,drama bengali after_2000
265,Geet Ganga,1982,138 min,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
266,Bachke Rahna,1949,,6.4,0,action comedy,hindi,before_1980,action comedy hindi before_1980
267,Viswasam Athalle Ellam,2015,159 min,4.9,30,comedy drama,malayalam,after_2000,comedy drama malayalam after_2000
268,Stop!,2004,,4.5,31,comedy romance,hindi,after_2000,comedy romance hindi after_2000
269,Sannyasi Deshonayok,2020,,6.4,0,drama,bengali,after_2000,drama bengali after_2000
270,Local Utpaat,2020,,6.4,0,action comedy,assamese,after_2000,action comedy assamese after_2000
271,Avaghachi Sansar,1960,,6.4,0,comedy,marathi,before_1980,comedy marathi before_1980
272,Neerja,2016,122 min,7.7,21192,biography drama thriller,hindi,after_2000,biography drama thriller hindi after_2000
273,OK Kanmani,2015,139 min,7.4,5030,romance,tamil,after_2000,romance tamil after_2000
274,Meen Kuzhambum Mann Paanaiyum,2016,136 min,5.4,98,comedy fantasy,tamil,after_2000,comedy fantasy tamil after_2000
275,Nandini,1969,,6.4,0,drama,marathi,before_1980,drama marathi before_1980
276,Begunah,1970,,6.4,0,action,hindi,before_1980,action hindi before_1980
277,Vakratunda Mahakaaya,2013,92 min,6.9,75,comedy,marathi,after_2000,comedy marathi after_2000
278,Intiguttu,1958,140 min,7.2,5,drama family,telugu,before_1980,drama family telugu before_1980
279,Naag Mani,1957,,6.5,6,adventure fantasy,hindi,before_1980,adventure fantasy hindi before_1980
280,Ghanchakkar,1990,,7.3,15,comedy,marathi,1990_2000,comedy marathi 1990_2000
281,Uladhaal,2008,130 min,6.0,49,drama thriller,marathi,after_2000,drama thriller marathi after_2000
282,Doctor X,1972,,6.4,0,thriller,hindi,before_1980,thriller hindi before_1980
283,Arshinagar,2015,134 min,4.5,198,drama musical romance,bengali,after_2000,drama musical romance bengali after_2000
